GR_solar_generation_actual,GR_temperature,GR_radiation_direct_horizontal,GR_radiation_diffuse_horizontal,cet_cest_timestamp
0.0,0.1994312694495117,0.0,0.0,2018-01-01 04:00:00+01:00
0.0,0.1990825195836463,0.0008531671007463,0.0054900454574027,2018-01-01 05:00:00+01:00
0.0005173305742369,0.2244339521407876,0.0609064259003125,0.0977367954375354,2018-01-01 06:00:00+01:00
0.0972581479565442,0.2913939263869514,0.2123295405827473,0.14009080295394,2018-01-01 07:00:00+01:00
0.3817899637868598,0.3358192939156562,0.3470616050247768,0.1553118057162047,2018-01-01 08:00:00+01:00
0.628039317123642,0.3741549522480953,0.4278546817116472,0.1687608715883909,2018-01-01 09:00:00+01:00
0.7428867046042421,0.4007135958793861,0.4354717295992778,0.1893042680754303,2018-01-01 10:00:00+01:00
0.760475944128298,0.4138051293057195,0.359479182579815,0.2236192923795171,2018-01-01 11:00:00+01:00
0.7025349198137609,0.4140465715205493,0.2529178024689704,0.2323766441546014,2018-01-01 12:00:00+01:00
0.5545783755819969,0.3985406159459169,0.1284871671499254,0.204703255150014,2018-01-01 13:00:00+01:00
0.3036730470770822,0.3549468827127374,0.0234513644078492,0.1061083365495811,2018-01-01 14:00:00+01:00
0.0817382307294361,0.3199914153879171,4.641745266914689e-05,0.0012271117819681,2018-01-01 15:00:00+01:00
0.0010346611484738,0.3105751690095503,0.0,0.0,2018-01-01 16:00:00+01:00
0.0,0.3023124798798154,0.0,0.0,2018-01-01 17:00:00+01:00
0.0,0.2543459598669385,0.0,0.0,2018-01-02 04:00:00+01:00
0.0,0.2471831741603176,0.0001751075869894,0.004385823858473,2018-01-02 05:00:00+01:00
0.0,0.2630915334263333,0.0121500426669823,0.119947868735743,2018-01-02 06:00:00+01:00
0.0610450077599586,0.3152967056551132,0.0886573951889322,0.2614923436387335,2018-01-02 07:00:00+01:00
0.2866011381272633,0.3479718853954286,0.2528379052168319,0.2614232049560657,2018-01-02 08:00:00+01:00
0.5085359544749094,0.3701040884215044,0.3396782124625818,0.2640422749241162,2018-01-02 09:00:00+01:00
0.6487325400931195,0.3871123511106342,0.3743182014876415,0.2606561517401125,2018-01-02 10:00:00+01:00
0.693740300051733,0.3978699431269449,0.3384619036208925,0.2607949849292503,2018-01-02 11:00:00+01:00
0.6213140196585618,0.4009282111814572,0.2376041648584173,0.2622011595420005,2018-01-02 12:00:00+01:00
0.4857734092084842,0.3915387917158493,0.1084331372430657,0.235253914450081,2018-01-02 13:00:00+01:00
0.2524573202276254,0.3526934220409915,0.0111877659783024,0.1067207083022549,2018-01-02 14:00:00+01:00
0.0600103466114847,0.3195353578710161,1.985851841425568e-05,0.0009803919177763,2018-01-02 15:00:00+01:00
0.0005173305742369,0.3096898808885073,0.0,0.0,2018-01-02 16:00:00+01:00
0.0,0.3045122867260436,0.0,0.0,2018-01-02 17:00:00+01:00
0.0,0.2285116428801373,0.0,0.0,2018-01-03 04:00:00+01:00
0.0,0.2266605858997746,6.380234794990279e-05,0.0032522720104299,2018-01-03 05:00:00+01:00
0.0,0.2420860607361304,0.0039803011507464,0.097612413791807,2018-01-03 06:00:00+01:00
0.0419037765131919,0.2750831634295525,0.0309725391852365,0.2753717724523851,2018-01-03 07:00:00+01:00
0.2327987584066218,0.3027148835711986,0.1298602358812371,0.3814728762340439,2018-01-03 08:00:00+01:00
0.4733574754267977,0.325812855456594,0.2101652743467254,0.4003916878198602,2018-01-03 09:00:00+01:00
0.612002069322297,0.3423114068033051,0.2474502769074624,0.3945672707931262,2018-01-03 10:00:00+01:00
0.7077082255561303,0.3508155381478699,0.2432438995812886,0.3635383601087186,2018-01-03 11:00:00+01:00
0.7113295395757889,0.3508960188861466,0.1965884306461021,0.3099964428964822,2018-01-03 12:00:00+01:00   
0.6057941024314537,0.3420431376757162,0.1204506950078719,0.2303510107323577,2018-01-03 13:00:00+01:00
0.3859286083807552,0.3030368065243051,0.0260301333144057,0.1138541838092184,2018-01-03 14:00:00+01:00
